"filename", "language", "JSON", "JavaScript", "Handlebars", "comment", "blank", "total"
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\models\index.js", "JavaScript", 0, 65, 0, 3, 10, 78
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\models\permiso.js", "JavaScript", 0, 39, 0, 1, 3, 43
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\models\rol.js", "JavaScript", 0, 35, 0, 1, 4, 40
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\models\rolpermiso.js", "JavaScript", 0, 32, 0, 2, 4, 38
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\models\servicio.js", "JavaScript", 0, 40, 0, 1, 5, 46
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\models\usuario.js", "JavaScript", 0, 144, 0, 1, 5, 150
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\models\usuariocontacto.js", "JavaScript", 0, 67, 0, 2, 4, 73
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\models\usuariofacturacion.js", "JavaScript", 0, 54, 0, 1, 4, 59
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\models\usuariopadrehijo.js", "JavaScript", 0, 61, 0, 1, 3, 65
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\package-lock.json", "JSON", 7664, 0, 0, 0, 1, 7665
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\package.json", "JSON", 51, 0, 0, 0, 1, 52
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\routes\accountRoutes.js", "JavaScript", 0, 7, 0, 3, 3, 13
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\routes\authRoutes.js", "JavaScript", 0, 50, 0, 13, 18, 81
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\routes\certificadoRoutes.js", "JavaScript", 0, 20, 0, 19, 16, 55
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\routes\contactRoutes.js", "JavaScript", 0, 9, 0, 183, 9, 201
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\routes\dominioRoutes.js", "JavaScript", 0, 18, 0, 5, 8, 31
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\routes\index.js", "JavaScript", 0, 28, 0, 8, 7, 43
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\routes\permisoRoutes.js", "JavaScript", 0, 40, 0, 6, 8, 54
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\routes\roleRoutes.js", "JavaScript", 0, 12, 0, 7, 10, 29
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\routes\serviceRoutes.js", "JavaScript", 0, 40, 0, 5, 8, 53
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\routes\userBillingRoutes.js", "JavaScript", 0, 7, 0, 63, 6, 76
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\routes\userCompositeRoutes.js", "JavaScript", 0, 15, 0, 3, 10, 28
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\routes\userContactRoutes.js", "JavaScript", 0, 9, 0, 178, 8, 195
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\routes\userRoutes.js", "JavaScript", 0, 13, 0, 3, 6, 22
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\seeders\20241107180103-estado-seeder.cjs", "JavaScript", 0, 20, 0, 1, 3, 24
