"filename", "language", "JavaScript", "SCSS", "CSS", "JSON", "HTML", "XML", "Properties", "Markdown", "comment", "blank", "total"
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\pages\BillingDetails.js", "JavaScript", 166, 0, 0, 0, 0, 0, 0, 0, 4, 9, 179
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\pages\CertificadosSSLPage.js", "JavaScript", 211, 0, 0, 0, 0, 0, 0, 0, 12, 21, 244
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\pages\ComprarPage.js", "JavaScript", 199, 0, 0, 0, 0, 0, 0, 0, 7, 23, 229
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\pages\ConfirmEmail.js", "JavaScript", 101, 0, 0, 0, 0, 0, 0, 0, 2, 19, 122
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\pages\ContactDetails.js", "JavaScript", 174, 0, 0, 0, 0, 0, 0, 0, 5, 14, 193
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\pages\DomainDetail.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 2, 9, 67
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\pages\DominiosBusquedaPage.js", "JavaScript", 164, 0, 0, 0, 0, 0, 0, 0, 9, 16, 189
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\pages\DominiosPage.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 0, 5, 10, 120
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\pages\EditDomainPage.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 0, 3, 9, 142
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\pages\EditUserPage.js", "JavaScript", 266, 0, 0, 0, 0, 0, 0, 0, 6, 19, 291
